,Metrics_Repr,Method_Repr,DC,NV,SDW,IOT,NT,Representativeness
0,3,3,1.5,1.5,1.5,0.5,1.0,2.4
1,3,3,2.5,1.0,2.0,1.5,1.5,2.566666666666667
2,3,1,2.5,1.5,1.5,1.0,1.0,1.8333333333333333
3,3,3,1.0,1.0,1.0,0.5,1.5,2.3333333333333335
4,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
5,3,3,2.0,1.0,1.5,1.0,1.5,2.466666666666667
6,3,3,1.5,1.5,1.5,0.5,1.0,2.4
7,3,3,2.5,1.0,2.0,1.5,1.5,2.566666666666667
8,3,1,1.5,1.0,1.0,1.0,1.5,1.7333333333333334
9,3,1,2.5,1.0,2.0,2.0,1.5,1.9333333333333333
10,3,3,1.5,1.5,1.5,0.5,1.0,2.4
11,3,1,1.0,1.0,1.5,1.5,1.5,1.7666666666666666
12,3,3,2.0,1.0,1.0,1.0,1.5,2.433333333333333
13,1,3,1.5,1.5,2.0,1.0,1.0,1.8
14,1,3,1.5,1.0,1.0,1.0,1.5,1.7333333333333334
15,3,1,2.5,1.0,2.0,2.0,1.5,1.9333333333333333
16,3,3,1.0,1.0,1.0,0.5,1.5,2.3333333333333335
17,0,3,1.0,1.0,1.0,1.0,1.5,1.3666666666666665
18,0,3,2.0,1.0,1.5,1.5,1.5,1.5
19,3,3,1.5,1.0,1.5,1.5,1.5,2.466666666666667
20,3,3,1.0,1.0,1.0,1.0,1.5,2.3666666666666667
21,3,3,2.0,1.0,1.0,0.5,1.5,2.4
22,3,3,1.5,1.0,1.5,1.0,1.5,2.433333333333333
23,3,3,1.0,1.0,1.0,1.0,1.5,2.3666666666666667
24,3,0,1.0,1.0,1.0,0.5,1.5,1.3333333333333333
25,3,3,1.5,1.0,1.5,1.5,1.5,2.466666666666667
26,3,1,1.0,1.0,1.0,0.5,1.5,1.6666666666666667
27,3,3,2.0,1.0,2.5,2.0,1.5,2.6
28,3,3,1.5,1.5,2.0,1.0,1.0,2.466666666666667
29,3,3,1.5,1.5,1.5,1.0,1.0,2.433333333333333
30,3,3,1.5,1.0,1.5,1.5,1.5,2.466666666666667
31,3,3,1.5,1.5,1.5,1.0,1.0,2.433333333333333
32,3,3,2.0,1.5,2.5,1.5,1.0,2.566666666666667
33,1,1,1.5,1.0,1.0,1.0,1.5,1.0666666666666667
34,3,3,1.5,1.0,1.0,1.0,1.0,2.3666666666666667
35,1,3,1.5,1.5,1.5,0.5,1.0,1.7333333333333334
36,3,3,2.0,1.5,2.0,1.0,1.0,2.5
37,3,3,1.5,1.5,1.5,0.5,1.0,2.4
38,3,0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333
39,3,3,2.5,1.5,2.0,1.0,1.0,2.533333333333333
40,3,3,3.0,1.5,2.5,1.5,1.0,2.6333333333333333
41,3,3,2.0,1.0,1.0,1.0,1.5,2.433333333333333
42,3,3,2.0,1.5,2.5,1.5,1.0,2.566666666666667
43,1,1,2.0,1.0,2.0,1.5,1.5,1.2
44,3,3,2.0,1.0,1.5,1.0,1.5,2.466666666666667
45,3,3,1.0,1.0,1.5,1.5,1.5,2.433333333333333
46,0,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
47,3,3,3.0,1.5,2.5,1.5,1.0,2.6333333333333333
48,3,3,2.5,1.5,2.5,1.5,1.0,2.6
49,3,3,2.5,1.5,1.5,1.0,1.0,2.5
50,3,3,2.5,1.5,2.0,1.5,1.0,2.566666666666667
51,3,3,1.5,1.5,1.5,1.0,1.0,2.433333333333333
52,3,3,1.5,1.0,1.0,1.0,1.5,2.4
53,3,3,3.0,1.5,2.5,2.0,1.0,2.6666666666666665
54,0,1,2.0,1.0,1.0,1.0,1.5,0.7666666666666666
55,3,3,2.5,1.5,1.5,1.0,1.0,2.5
56,3,3,2.5,1.5,2.0,1.0,1.0,2.533333333333333
57,3,1,1.5,1.5,1.5,1.0,1.0,1.7666666666666666
58,3,3,1.5,1.0,1.5,1.0,1.5,2.433333333333333
59,3,3,1.5,1.5,2.0,1.0,1.0,2.466666666666667
60,0,3,3.0,1.5,2.0,1.0,1.0,1.5666666666666667
61,3,3,3.0,1.5,2.5,2.0,1.0,2.6666666666666665
62,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
63,0,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
64,3,3,1.5,1.0,1.0,0.5,1.5,2.3666666666666667
65,3,3,1.0,1.0,1.5,1.5,1.5,2.433333333333333
66,1,3,1.5,1.0,1.0,1.0,1.5,1.7333333333333334
67,1,3,1.5,1.0,1.0,1.0,1.5,1.7333333333333334
68,3,3,2.5,1.5,1.5,0.5,1.0,2.466666666666667
69,3,3,1.5,1.5,2.0,1.0,1.0,2.466666666666667
70,3,3,1.5,1.5,1.5,1.5,1.0,2.466666666666667
71,3,3,2.0,1.0,1.0,1.0,1.5,2.433333333333333
72,3,3,1.5,1.5,2.0,1.0,1.0,2.466666666666667
73,1,1,1.5,1.0,1.0,0.5,1.5,1.0333333333333334
74,3,1,3.0,1.5,2.0,1.0,1.0,1.9000000000000001
75,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
76,3,3,2.5,1.0,2.5,2.0,1.5,2.6333333333333333
77,3,3,2.5,1.5,1.5,0.5,1.0,2.466666666666667
78,0,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
79,0,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
80,3,3,2.5,1.5,2.0,1.0,1.0,2.533333333333333
81,1,0,2.0,1.5,1.5,0.5,1.0,0.7666666666666666
82,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
83,3,3,1.5,1.5,2.0,1.5,1.0,2.5
84,3,3,2.0,1.5,2.0,1.0,1.0,2.5
85,3,3,2.0,1.5,1.5,0.5,1.0,2.433333333333333
86,3,3,1.5,1.5,1.5,0.5,1.0,2.4
87,1,1,2.5,1.0,1.5,1.0,1.5,1.1666666666666667
88,3,3,1.0,1.0,1.0,1.5,1.5,2.4
89,3,3,1.5,1.5,1.5,0.5,1.0,2.4
90,3,3,1.5,1.5,1.5,1.0,1.0,2.433333333333333
91,3,1,2.5,1.0,1.5,1.0,1.5,1.8333333333333333
92,3,1,3.0,1.5,2.5,2.0,1.0,2.0
93,1,1,1.0,1.0,1.0,1.0,1.5,1.0333333333333334
94,3,1,2.0,1.5,2.0,1.5,1.0,1.8666666666666665
95,3,1,2.5,1.5,2.0,1.0,1.0,1.8666666666666665
96,3,3,1.5,1.5,1.5,0.5,1.0,2.4
97,1,3,1.0,1.0,1.0,0.5,1.5,1.6666666666666667
98,3,3,1.5,1.0,1.0,0.5,1.5,2.3666666666666667
99,3,3,2.0,1.5,1.5,1.0,1.0,2.466666666666667
100,1,3,2.0,1.5,1.5,0.5,1.0,1.7666666666666666
101,1,3,1.5,1.5,1.5,1.0,1.0,1.7666666666666666
102,1,3,1.5,1.5,1.5,0.5,1.0,1.7333333333333334
103,3,3,2.0,1.5,2.0,1.5,1.0,2.533333333333333
104,3,1,1.0,1.0,1.0,1.0,1.5,1.7
105,3,3,1.5,1.0,1.5,1.0,1.5,2.433333333333333
106,3,3,2.0,1.5,1.5,0.5,1.0,2.433333333333333
